Section,Field,Value
PROPERTY INFO,Property Name,AS - Atlantic Sunrise (Unit B4)
,Internal Name,AS - B4
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Condo unit B4 (no elevator; 2 stories up; electric lift not for guest use)
,"Full Address (Street, City, State, ZIP)","Unit B4, 1221 S. Virginia Dare Trail, Kill Devil Hills, NC 27948 (also noted as 1221 S. Croatan Hwy)"
,Max Occupancy,6
,Beds (count),4
,Bedrooms (count),2
,Baths (count),2
,Bed Setup (describe),Primary BR: Queen bed + TV + ocean views + ensuite (shower). Second BR: twin/twin bunk + full bed (top bunk not made; fresh sheet bundle provided).
,Property Type (house/apt/studio/etc.),Condo / apartment unit
,Check in time,After 4:00 PM
,Check out time,10:00 AM (sharp)
,,
LISTING LINKS,Airbnb Title & Link,Atlantic Sunrise | Pool | Stellar Ocean View | MP9
,Direct Site Link,
,Other Listing Link 2,
,,
PETS,Pets Allowed? (Yes/No),No (strict)
,Pet Exceptions / Approval Rules,"ABSOLUTELY NO PETS. If a pet is brought, guest may be evicted with no notice and no refunds."
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Lockbox with key
,Lockbox Location,On piling opposite entry door
,Lockbox Code,4981
,Where Key Works (front/back/utility/etc.),Unit entry door
,Emergency-Only Key Location,Extra key in guest entry lockbox (emergency only; not for regular guest use). Hidden key also on ledge above entry door.
,Management Contact Needed for Spare Key? (Yes/No),No
,,
PARKING,Parking Rules Summary,2 parking passes provided. Must display from rearview mirror. Return to refrigerator hook at checkout. $250 fee for missing passes.
,Max Vehicles Allowed,2 (based on 2 parking passes)
,Where to Park (left/right/behind house/etc.),Complex parking (exact spot not specified); display parking passes
,Do Not Park / Tow Notes,Do not take parking passes home (missing pass fee $250)
,Parking Passes Needed? (Yes/No),Yes (2 passes)
,,
WIFI,WiFi Network Name (SSID),SpectrumSetup-6BC0
,WiFi Password,proofladder641
,Modem / Router Location,Behind/under living room TV (Silicon Travel)
,Guest Access to Modem? (Yes/No),Yes
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,
,Guest Access to Breaker? (Yes/No),
,Who Controls Thermostat (guest/upstairs/downstairs),Guest
,HVAC Notes / Reset Instructions,Departure setpoints: AC 74°F / Heat 68°F
,,
TV,TV Locations (LR/BRs/etc.),Living room + primary bedroom TV
,Smart TVs? (Yes/No),Yes (streaming; no cable)
,Smart TVs? (Yes/No),Living room TV password: Happiness#1221
,,
OUTDOOR / AMENITIES,Backyard Access (Upstairs only / Downstairs only / Shared),N/A (condo complex)
,Porches/Patios (Shared? notes),Oceanfront balcony (unit)
,Grill Type (charcoal/gas/none/shared),Shared community grill station (charcoal)
,Grill Location,Ground level community grill area
,"Special Outdoor Notes (trails, etc.)",Community outdoor showers + hose for rinsing sand. Direct ocean access. Pool is HOA-managed; opens end of May/Memorial Day weekend and closes end of Sept (weather permitting). Coin laundry on ground level (seasonal).
,,
BEACH GEAR,Where Beach Gear Is Stored,"Bunk room closet (must rinse/clean sand, dry, and return organized; charges if excessive sand/missing)"
BEACH TOWELS,Location and fine,Bring beach towels; condo provides linens and bath towels for inside only.
,,
BIKES,Bikes Provided? (Yes/No),No
,,
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",ABSOLUTELY NO PETS. Quiet hours 10pm–7am STRICT (noise complaint can mean immediate removal). No smoking inside (if smoking on balcony keep doors shut and dispose butts). Do not move furniture/decor; do not remove surfboard decor. No candles. Use outdoor showers to rinse sand/sunscreen before entering. Parking passes must be displayed/returned ($250 fee if missing). No weather refunds/date changes (trip insurance encouraged). Late checkout fee: $50 per 15 minutes.
,Smoking Policy,"No smoking inside. If smoking on balcony, keep doors shut and dispose of butts properly."
,,
MAINTENANCE / OPS,"Common Issues (GFI resets, etc.)",
,GFI / Reset Instructions,
,Special Handling,"Luggage not for guest use. Laundry room (ground level) entry code: 1221. Garbage disposal rules apply (cold water; only small soft scraps; no grease/oil, bones/seafood, coffee grounds, pasta/rice/starches, fibrous veg, eggshells, pits/large peels, non-food; if jammed do not attempt fix—contact host). Pool/laundry are HOA-managed and may close for maintenance."
,,
TRASH,Trash Pickup Days / Season Notes,
,Trash Instructions / Location,Trash to outside dumpster in sealed plastic trash bag
,,
Important Links,Property Guide,https://docs.google.com/document/d/1FnciL0k6tA9XrjWGuC7w99R1OLC1jiuOmuyyFf-xD_o/edit?usp=sharing
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",
,,
LOST & FOUND,Process and fees,Items held for 30 days. Shipping cost + $10 handling fee.
,,
NOTES,Misc Notes / Edge Cases,"Address provided as both 1221 S. Croatan Hwy and 1221 S. Virginia Dare Trail; unit B4. Lockbox code 4981 on piling opposite entry door. Emergency-only extra key in entry lockbox; hidden key on ledge above entry door. WiFi SpectrumSetup-6BC0 / proofladder641; modem behind/under living room TV (Silicon Travel). Living room TV password Happiness#1221. Parking passes x2 on fridge hook; $250 fee if missing. No elevator; second level (2 stories up); lift not for guest use. Pool opens end of May / Memorial Day weekend and closes end of Sept (weather permitting; historical dates May 27, 2023–Sept 30, 2023). Shared charcoal grill ground level (no charcoal). Ground level coin laundry (seasonal) entry code 1221. Checkout 10am; text “Atlantic Sunrise has checked out” to 252-722-4973; strip beds and leave linens on beds; towels left in bathrooms; start dishwasher; thermostat AC 74 / Heat 68; lock up, lights off, log out of apps; late checkout fee $50 per 15 minutes."
