Section,Field,Value
PROPERTY INFO,Property Name,2CD - DOWNSTAIRS 706 Canal Drive
,Property Code / Short Name,2CD - Canal Dr. DOWN
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),DOWNSTAIRS UNIT
,"Full Address (Street, City, State, ZIP)","706 Canal Drive (DOWNSTAIRS UNIT), Kill Devil Hills, NC 27948"
,Max Occupancy,2
,Beds (count),1
,Bedrooms (count),1
,Baths (count),1
,Bed Setup (describe),1 King Bed
,Property Type (house/apt/studio/etc.),Entire rental unit
,Check in time,4:00 PM
,Check out time,10:00 AM
,,
LISTING LINKS,Airbnb Link,The Coral Cove | Spacious | Walk to Ocean | Bikes
,Other Listing Link 1 (VRBO/BDC/etc.),
,Other Listing Link 2,
,,
PETS,Pets Allowed? (Yes/No),Yes (see notes)
,Max # Pets Allowed,2
,Pet Fee ($/night per pet or flat),$25/night per pet (discount option for 2 pets: $35/night total)
,Pet Exceptions / Approval Rules,"If 2 pets and guest doesn’t book due to $50/night total fee, may offer discounted total pet fee of $35/night for two pups (homeowner exception). Always reiterate to review pet rules on listing."
,"Pet Notes (cats ok, etc.)",2 pets allowed with pet fee (note: Quick Reference originally said “No strict” but operational notes allow pets with fee)
,Pet Payment Method (Airbnb/VRBO/Venmo/PayPal/etc.),Airbnb (pet fee via listing/standard process; discount phrasing provided)
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Lockbox key entry
,Lockbox Location,On house piling
,Lockbox Code,2468
,Where Key Works (front/back/utility/etc.),Entry door
,Backup/Spare Key Location,"Under heat pump/HVAC system on a nail (right side of house, just beyond outside shower)"
,Backup Key Code,
,Management Contact Needed for Spare Key? (Yes/No),No (key is on-site; emergency use only; return immediately)
,,
PARKING,Parking Rules Summary,"Park up to 2 vehicles on RIGHT side of driveway, one behind the other."
,Max Vehicles Allowed,2
,Parking Passes Needed? (Yes/No),No
,,Please be sure to park on your side of the driveway. Park only to the far right up to 2 vehicles one right up to the right side garage door so not to block anyone on the left and another vehicle can be parked on the ground to the right of the driveway. DO NOT OPEN EITHER GARAGE DOOR.
,,
WIFI,WiFi Network Name (SSID),Airbnb1
,WiFi Password,FiveStarStay
,Modem / Router Location,Upstairs unit (downstairs guests do not have access)
,Guest Access to Modem? (Yes/No),No
,ISP / Provider (Spectrum/etc.),Silicon Travel
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,Downstairs unit
,Guest Access to Breaker? (Yes/No),Yes (downstairs has access; upstairs does not)
