Section,Field,Value
PROPERTY INFO,Property Name,Prime Location | Pets | Kayak | Bike | SUP | MP7.5
,Property Code / Short Name,(North Unit – Above Garage
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),UNIT ABOVE THE GARAGE (Upstairs efficiency apartment)
,"Full Address (Street, City, State, ZIP)","1506 Ketch Lane (NORTH UNIT - above garage), Kill Devil Hills, NC 27948"
,City,Kill Devil Hills
,Max Occupancy,3
,Beds (count),1
,Bedrooms (count),Studio / efficiency apartment
,Baths (count),1
,Bed Setup (describe),1 King bed + sofa/couch (3rd guest allowed on couch)
,Property Type (house/apt/studio/etc.),Upstairs efficiency apartment (above garage)
,,
LISTING LINKS,Airbnb Listing Title,Prime Location | Pets | Kayak | Bike | SUP | MP7.5
,,
PETS,Pets Allowed? (Yes/No),Yes
,Max # Pets Allowed,2 (3rd pet may be approved in advance with added fee)
,Pet Fee ($/night per pet or flat),$25/night per pet
,Pet Payment Method (Airbnb/VRBO/Venmo/PayPal/etc.),Airbnb Resolution Center (as provided)
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Smart lock / keypad (self check-in)
,Smart Lock Code (if applicable),
,Lockbox Location,
,Where Key Works (front/back/utility/etc.),Unit entry door
,Backup Key Location,Key under the shell
,,
PARKING,Parking Rules Summary,1 vehicle only. Must park in front of the garage.
,Max Vehicles Allowed,1 (strict) (2nd vehicle may be allowed with prior approval BEFORE booking)
,Where to Park (left/right/behind house/etc.),In front of the garage
,Parking Passes Needed? (Yes/No),No
,,
WIFI,WiFi Network Name (SSID),
,WiFi Password,
,ISP / Provider (Spectrum/etc.),Fiber optic WiFi (provider not specified); speed noted ~316 Mbps
,,
,,
TV / STREAMING,TV Locations (LR/BRs/etc.),"Main living/sleeping area (studio) – 52"" TV"
,Smart TVs? (Yes/No),Yes
,Cable? (Yes/No),No
,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),
,Dishwasher (Yes/No),Yes
,Other Appliance Notes,Starter supplies provided: 2 rolls toilet paper; 1 roll paper towels; dish soap; sponge; a few trash bags
,,
OUTDOOR / AMENITIES,Grill Type (charcoal/gas/none/shared),Community charcoal grill (shared)
,Grill Location,Backyard (shared)
,Firepit (Yes/No + wood provided?),Yes; wood provided (stored in backyard)
,Community Amenities (grill/pool/etc.),Firepit (wood provided); community charcoal grill; shared bikes; kayak and SUPs available
,"Special Outdoor Notes (trails, etc.)",Kayaks & SUPs must be transported by guest vehicle; delivery/pickup may be available for cash fee. Bikes provided but may be temporarily unavailable due to maintenance
,,
BEACH GEAR,Beach Chairs (count),2
,Umbrellas (count + spike?),1 umbrella + spike
,Coolers (count/size),1 small cooler
,Wagon (Yes/No),
,Beach Towels (count),
,Beach Toys (Yes/No + notes),
,Where Beach Gear Is Stored,Not specified
,,
BIKES / LOCKS,Bikes Provided? (Yes/No),Yes
,Bike Count,6
,Bike Location / Storage,Shared bikes on-site (exact location not specified)
,Shared Bikes? (Yes/No + notes),Yes (shared with other guests)
,Helmet Reminder / Rules,Bring helmet
,Bike Lock Codes ,
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",1 vehicle only (park in front of the garage). Pets allowed up to 2 with $25/night per pet.
,Noise / Quiet Hours,10 PM – 7 AM
,Smoking Policy,No smoking inside (outside only)
,Other Restrictions,unapproved late departures: $50 per 15 minutes. 3rd guest allowed on couch: $25/night. 1 vehicle per reservation (2nd only with prior approval BEFORE booking). Treat linens/towels carefully (stains).
,,
MAINTENANCE / OPS,Owner Notes / Special Handling,"Kayak/SUP require guest to safely transport ,property includes two other private Airbnbs on-site; minimal contact with owner but available. Kayak/SUP delivery option may be available for cash fee."
,,
TRASH,Trash Pickup Days / Season Notes,
,Trash Instructions / Location,Take trash to the outside trash can (per checkout note)
,,
CHECK-OUT GUIDE,Check-Out Time,10:00 AM
,Check-Out Text Message Instruction,No copy. Posted on refrigerator.
,Other Check-Out Notes,Check-out guide posted on refrigerator (no copy provided)
,,
FILES / LINKS,House Manual / SOP Link,
,Photo Folder Link,
,,
NOTES,Misc Notes / Edge Cases,"Pets allowed with fee of $25/night per pet up to 2; can be sent via Venmo or Airbnb Resolution Center. Upstairs efficiency apartment above garage. Beach gear: 2 chairs, umbrella+spike, small cooler. Kayak and SUPs available (guest must safely transport). 6 bikes shared with other guests (bring helmet). Firepit with wood provided (stored in backyard). Community charcoal grill in backyard. Parking: 1 vehicle strict, must park in front of garage. Check-out guide posted on refrigerator (no copy provided)."
,,good for remote work; WiFi ~316 Mbps. Starter supplies only (TP/paper towels/dish soap/sponge/trash bags)—guest buys extras (Publix nearby mentioned). Hurricane season June–Nov; no weather refunds; suggest trip insurance via Airbnb/Generali (per listing note).
