Section,Field,Value
PROPERTY INFO,Property Name,Coastal Luxury | A Salt Aire Retreat | WalkToSurf
,Property Code / Short Name,WA - 2021 Wrightsville
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Entire home (single unit)
,"Full Address (Street, City, State, ZIP)","2021 Wrightsville Ave., Nags Head, NC 27959"
,City,Nags Head
,Max Occupancy,8
,Beds (count),5
,Bedrooms (count),3
,Baths (count),2
,Bed Setup (describe),"1 KING, 1 QUEEN, BUNK WITH SINGLE OVER DOUBLE + SINGLE TRUNDLE BED"
,Property Type (house/apt/studio/etc.),House
,,
LISTING LINKS,Airbnb Listing Title,Coastal Luxury | A Salt Aire Retreat | WalkToSurf
,,
PETS,Pets Allowed? (Yes/No),No
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Lockbox with key
,Lockbox Location,Ground level on house piling immediately before laundry room; box faces south
,Lockbox Code,1202
,Where Key Works (front/back/utility/etc.),Key works for front door and utility room entry
,Backup Key Location,Additional back up spare key on site (contact management for access)
,Emergency-Only Key Location,"Emergency-only lockbox code provided -  ENSURE KEY IS RETURNED IMMEDIATELY: 
"
,Emergency-Only Key Code,007
,,
PARKING,Parking Rules Summary,Up to 3 vehicles; can consider 4. Can accommodate golf cart.
,Max Vehicles Allowed,3 (can consider 4)
,Where to Park (left/right/behind house/etc.),Concrete driveway
,Parking Passes Needed? (Yes/No),No
,Golf Cart Allowed? (Yes/No + notes),Yes (can accommodate golf cart)
,,
WIFI,WiFi Network Name (SSID),SpectrumSetup-9D
,WiFi Password,botanykite587
,Modem / Router Location,Top of primary bedroom closet (back bedroom on the right)
,Guest Access to Modem? (Yes/No),Yes
,ISP / Provider (Spectrum/etc.),Spectrum (SSID indicates Spectrum)
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,Utility room on ground level
,Guest Access to Breaker? (Yes/No),Yes
,Thermostat Type (Ecobee/other),"Ecobee thermostat - https://youtu.be/9j1EIIoqleM
"
,Thermostat Location,
,Thermostat PIN,2012
,Who Controls Thermostat (guest/upstairs/downstairs),Guest
,HVAC Notes / Reset Instructions,To change mode “Heat/AC/Auto” tap small icon at the top of the screen https://youtu.be/9j1EIIoqleM
,Water Main Shutoff Location,"Utility room on ground level, immediately to the left (blue valve)"
,Water Shutoff Instructions,Turn blue valve clockwise to shut off
,,
TV / STREAMING,TV Locations (LR/BRs/etc.),Living room (TV pin provided)
,TV PIN / Parental Code(s),Living room TV pin: 5844
,,"Smart TVs; streaming only, no cable"
,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),Yes (not otherwise restricted)
,Dishwasher (Yes/No),Yes (implied by checkout instructions) ; (Samsung)
,"Dishwasher Notes (pods, latch issues, etc.)",Start dishwasher at checkout; cleaning tech unloads
,Garbage Disposal (Yes/No + switch location),Yes; switch next to kitchen sink
,Coffee Maker(s) (Keurig/drip/etc.),Drip coffee pot
,Other Appliance Notes,"Blender, crock pot, hand mixer, 4-slice toaster, microwave, French door fridge w/ ice maker + water dispenser"
,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),Yes (ground level utility area)
,Porches/Patios (Shared? notes),Private screened + covered porch; porch swing; outdoor dining seating
,"Special Outdoor Notes (trails, etc.)","No bikes on site; guests can rent bikes at Ocean Atlantic Rentals

Do not disturb items stored around back of home under the house
If guest brings portable grill: must be used on ground level over ground (not on decks, not under carport), supervised at all times"
,,
BEACH GEAR,Beach Chairs (count),5
,Umbrellas (count + spike?),2 umbrellas
,Coolers (count/size),2 coolers
,Wagon (Yes/No),1 wagon
,Beach Towels (count),0
,Beach Toys (Yes/No + notes),Yes (beach toys)
,Where Beach Gear Is Stored,Utility room ground level
,,
BIKES / LOCKS,Bikes Provided? (Yes/No),No
BIKES / LOCKS,Bike Count,0
BIKES / LOCKS,Shared Bikes? (Yes/No + notes),No
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",No pets (STRICT). No bikes on site (rentals suggested). Can accommodate golf cart.
HOUSE RULES,Noise / Quiet Hours,10pm – 7am
HOUSE RULES,Smoking Policy,No smoking inside home or on decks; $150 for butts/signs; minimum $400 if smoke smell inside
HOUSE RULES,Other Restrictions,Lost & found: ship at shipping cost + $10 handling; held 30 days
,,
MAINTENANCE / OPS,Other Key Locations,Lockbox on house piling (ground level) code 1202; emergency-only code 007
,Owner Notes / Special Handling,Water main shutoff in utility room; blue valve. Circuit breaker in utility room. Thermostat PIN 2012. Living room TV PIN 5844. WiFi modem top of primary bedroom closet (back bedroom on right). Bike rentals: Ocean Atlantic Rentals.
,,
,,
TRASH,Trash Pickup Days / Season Notes,Trash pickup appears Monday + Thursday mornings
,Trash Instructions / Location,Take trash to outside can secured in a trash bag (per checkout guide)
,,
CHECK-OUT GUIDE,Check-Out Time,10am sharp
,Check-Out Text Message Instruction,Text “Wrightsville Ave. has checked out” to the provided number (do not use for other reasons)
,Check-Out Text Number,252-619-6145
,Linens Instructions,Do not strip beds (cleaning tech will do linen count). Used towels/bath mats/wash cloths/dish towels piled by front door; starting first load appreciated but not necessary.
,Towels Instructions,Leave used towels/bath mats/wash cloths/dish towels piled by front door (start first load optional)
,Dishes Instructions,Do not leave dirty dishes; start dishwasher (cleaning tech will unload)
,Thermostat Setpoint on Departure,Leave AC @ 74°F and Heat @ 68°F
,Remote Controls Instructions,Leave all remote controls on kitchen countertop (4 remotes)
,Windows/Doors/Lights Instructions,Windows/doors locked; lights out; log out of personal apps on TVs
,Other Check-Out Notes,Empty refrigerator (sealed unopened items ok). Furniture inside/outside returned to original position. Check under furniture & outlets for items/charging cords. Have a safe journey home.
,,
FILES / LINKS,House Manual / SOP Link,
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",How to use Ecobee thermostat: https://youtu.be/9j1EIIoqleM
,"Other Important Links (thermostat video, rentals, etc.)",Bike rentals: https://www.oceanatlanticrentals.com/bikes/
,,
NOTES,Misc Notes / Edge Cases,"Emergency-only key code: 007
"
