Section,Field,Value,
PROPERTY INFO,Property Name,Pool | Stunning Ocean View | Balcony | MP 9,
,Property Code / Short Name,SH - B2 Admirals View,
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Unit B2 | 3rd-floor oceanfront condo (stairs only; no elevator),
,"Full Address (Street, City, State, ZIP)","Unit B2, 1221 S. Virginia Dare Trail, Kill Devil Hills, NC 27948",
,City,Kill Devil Hills,
,Max Occupancy,6,
,Beds (count),4,
,Bedrooms (count),2,
,Baths (count),2,
,Bed Setup (describe),Primary BR: Queen bed (en suite) + balcony access. Second BR: 1 bunk bed (2 twins) + 1 double bed,
,Property Type (house/apt/studio/etc.),"Condo / apartment unit , Oceanfront condo",
,,,
LISTING LINKS,Airbnb Listing Title,Pool | Stunning Ocean View | Balcony | MP 9,
,,,
PETS,"Pet Notes (cats ok, etc.)","(Strict NO PETS; if seen with a pet, guest will be evicted)",
,,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Smart lock + lockbox backup,
,Smart Lock Code (if applicable),9104,
,Lockbox Location,Lockbox hanging by door,
,Lockbox Code,5136,
,Where Key Works (front/back/utility/etc.),Key in lockbox for entry (backup),
,Backup Key Location,Lockbox hanging by door,
,Backup Key Code,5136,
,Emergency-Only Key Location,Lockbox hanging by door,
,Emergency-Only Key Code,5136,
,Restricted Locks / Codes (NOT for guest use),Cleaning closet padlock,
,Cleaning Closet Location,Cleaning closet,
,Cleaning Closet Code / Key Location,Coded padlock: 0007,
,Extra Spare Key On-Site? (Yes/No + where),Yes (lockbox hanging by door),
,Management Contact Needed for Spare Key? (Yes/No),No,
,,,
PARKING,Parking Rules Summary,2 parking passes provided (must be displayed/used as required),
,Max Vehicles Allowed,2 (based on 2 parking passes),
,Where to Park (left/right/behind house/etc.),,
,Do Not Park / Tow Notes,,
,Parking Passes Needed? (Yes/No),Yes (2 passes),
,Where Passes Are Stored,On refrigerator; backups in cleaning closet,
,Golf Cart Allowed? (Yes/No + notes),,
,,,
WIFI,WiFi Network Name (SSID),Airbnb1,
,WiFi Password,FiveStarStay,
,Modem / Router Location,Under TV in living room,
,Guest Access to Modem? (Yes/No),Yes,
,,,
ELECTRICAL / UTILITIES,HVAC Notes / Reset Instructions,Guest (HVAC heating + AC in unit),
,,,
TV / STREAMING,TV Locations (LR/BRs/etc.),Living room (TV present; WiFi equipment under TV) + both bedrooms,
,Smart TVs? (Yes/No),Yes,
,Cable? (Yes/No),No,
,Provided Apps (Netflix/etc.),N/A,
,TV PIN / Parental Code(s),N/A,
,,,
KITCHEN / APPLIANCES,Dishwasher (Yes/No),Yes,
,Ice Maker / Water Dispenser (Working? notes),Ice maker ✅,
,Garbage Disposal (Yes/No + switch location),K-cup (Keurig-style) + drip coffee pot,
,Coffee Maker(s) (Keurig/drip/etc.),Blender + kitchen gadgets (fully stocked),
,Other Appliance Notes,,
,,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),Yes,
,Porches/Patios (Shared? notes),Private oceanfront balcony (views of ocean + overlooks pool),
,Grill Type (charcoal/gas/none/shared),Shared community grill (type not specified),
,Community Amenities (grill/pool/etc.),"Seasonal community pool (late May–late Sept, weather permitting) + grill + picnic table + outdoor shower + coin laundry (seasonal) + immediate beach access",
,"Special Outdoor Notes (trails, etc.)",Pool is HOA-managed and may close for maintenance/unforeseen issues,
,,,
,,,
,,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Parking passes required (2 passes). Cleaning closet is secured with padlock code 0007.,
,Noise / Quiet Hours,Quiet hours 9pm–7am,
,Smoking Policy,No smoking inside,
,Other Restrictions,Trip length minimum can be adjusted (start higher minimum in summer). Minimum nightly rate up to management.,
,,,
MAINTENANCE / OPS,Other Key Locations,Parking pass backups in cleaning closet,
,Owner Notes / Special Handling,"Open April 4, 2025. Entry code 9104. Lockbox code 5136. Cleaning closet padlock 0007.",
,,,
CONTACTS,Owner Name,Shelly Hendrick,
,Owner Phone,202-368-2810,
,Owner Email(s),obxairbnb56@yahoo.com; shelly9104@gmail.com,
,Payment Email (PayPal/Venmo),PayPal: shelly9104@gmail.com,
,,,
TRASH,Trash Pickup Days / Season Notes,,
,Trash Instructions / Location,Take trash to parking lot dumpster (per checkout instructions),
,,,
CHECK-OUT GUIDE,Check-Out Time,10am,
,Linens Instructions,Strip the beds,
,Towels Instructions,(bath towels provided; beach/pool towels not provided),
,Dishes Instructions,Start the dishwasher,
,Windows/Doors/Lights Instructions,Be sure sliding doors are closed (especially if smoking on balcony); ensure storm door is fully shut,
,Other Check-Out Notes,Return parking passes to fridge hook to avoid $250 missing-pass fee,
,,,
FILES / LINKS,House Manual / SOP Link,,
,Photo Folder Link,,
,,,
NOTES,Misc Notes / Edge Cases,"Owner: Shelly Hendrick. Entry code 9104. Lockbox hanging by door code 5136. Cleaning closet padlock code 0007. Parking passes x2 on refrigerator; backups in cleaning closet. WiFi equipment under TV in living room. Ice maker working. Open April 4, 2025. Trip length minimum: min 1 (start higher minimum in summer). Minimum nightly rate: flexible (“up to me”).","Pool opens Memorial Day weekend and closes end of September (weather permitting). Linens + bath towels provided; bring beach/pool towels. Starter supplies provided (trash bags, TP, paper towels, dish soap/sponge, shampoo/conditioner/body wash, salt/pepper, starter coffee). All TVs are smart TVs (no cable; guests use their own apps). Min stay: 1 night (may be higher in summer). Property opened April 4, 2025."
,,Electric luggage lift is owners-only (no guest access),
