Section,Field,Value
PROPERTY INFO,Property Name,AD - 500 W. Avalon Drive
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Entire home (single unit)
,"Full Address (Street, City, State, ZIP)","500 West Avalon Drive, Kill Devil Hills, NC 27948"
,Max Occupancy,5
,Beds (count),2
,Bedrooms (count),2
,Baths (count),1
,Bed Setup (describe),Two king beds and 1 Couch
,Property Type (house/apt/studio/etc.),Cottage
,,
LISTING LINKS,Airbnb Link,An Authentic Outer Banks Cottage Experience | SUPs
,Direct Site Link,
,Other Listing Link 2,
,,
PETS,Pets Allowed? (Yes/No),"Yes, upto 2"
,Pet Exceptions / Approval Rules,ask Katie if 3 pets requested
,"Pet Notes (cats ok, etc.)",pet fee 25/pet per night
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Key under shell
,Lockbox Location,Behind the mini split exterior unit (behind carport; walk through ping pong area)
,Lockbox Code,0007
,Where Key Works (front/back/utility/etc.),Primary entry key is under shell (door not specified)
,Emergency-Only Key Location,Lockbox behind mini split exterior unit (behind carport; walk through ping pong area)
,Extra Spare Key On-Site? (Yes/No + where),Yes (hidden key under heat pump; lockbox code 0007 behind mini split)
,Management Contact Needed for Spare Key? (Yes/No),No (key is on-site)
,Check in time,4PM
,Check out time,10AM
,Late check out FINE,"$50 per 15 minutes that the guest remains on the property after check out time.
Unless mutually agreed upon check out is 10am and If the cleaners are held up."
,,
PARKING,Parking Rules Summary,Free Parking on the premesis
,Max Vehicles Allowed,Only 2 vehicles
,Where to Park (left/right/behind house/etc.),Please do not park in the yard
,,
WIFI,WiFi Network Name (SSID),Airbnb1
,WiFi Password,FiveStarStay
,Modem / Router Location,Bedroom with wood slat wall; under end table by circuit breaker
,Guest Access to Modem? (Yes/No),Yes
,ISP / Provider (Spectrum/etc.),Silicon Travel
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,By end table in bedroom with wood slat wall (same area as modem)
,Guest Access to Breaker? (Yes/No),Yes
,Thermostat Type (Ecobee/other),Mini split system (4-zone)
,Thermostat Location,Each zone controlled by remote
,Who Controls Thermostat (guest/upstairs/downstairs),Guest (mini split remotes)
,HVAC Notes / Reset Instructions,"There are 4 zones/units: kitchen, living room, each bedroom. If not working: power ALL units off, wait 3 minutes, set remote to desired mode (heat/AC) & temp, aim remote at each unit and power on, then wait 5–10 minutes. All units must be same mode (no mixing heat/AC). Powering all off resets."
,,
TV / STREAMING,TV Locations (LR/BRs/etc.),"All rooms + living room 65"""
,Smart TVs? (Yes/No),Yes
,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),
,Dishwasher (Yes/No),Yes
,"Dishwasher Notes (pods, latch issues, etc.)",Soap holder does not close; guests can throw dishwasher pod into the bottom
,Ice Maker / Water Dispenser (Working? notes),
,Garbage Disposal (Yes/No + switch location),
,Coffee Maker(s) (Keurig/drip/etc.),Keurig + pods + drip coffee pot with coffee
,Other Appliance Notes,
,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),yes
,Porches/Patios (Shared? notes),covered patio
