Section,Field,Value
PROPERTY INFO,Property Name,3HD - Sugar Shack DOWN North Side
,Internal Name,3HD
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),"Downstairs / ground-level private king efficiency suite (North side) — front right door with half-glass window, behind the swing"
,"Full Address (Street, City, State, ZIP)","1401 Harpoon Drive, Kill Devil Hills, NC 27948"
,Max Occupancy,2
,Beds (count),1
,Bedrooms (count),1
,Baths (count),1
,Bed Setup (describe),1 King bed
,Property Type (house/apt/studio/etc.),Private guest suite / efficiency
,Check in time,4:00 PM
,Check out time,10:00 AM
LISTING LINKS,Airbnb Title & Link,Sugar Shack | Private | Kayaks | Bikes | MP7.5
,Direct Site Link,Not provided
,Other Listing Link 2,Not provided
PETS,Pets Allowed? (Yes/No),Yes
,Pet Exceptions / Approval Rules,Up to 1 pet allowed. More than 1 requires approval before booking. Pet fee $15/night per pet. No pets on bed/furniture; if guest wants pet to sleep with them they must bring their own sheets/blankets + message host; excessive cleaning fee $100+ if violated.
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),"CODE IS 14011

*To Lock: Press the lock button to secure the door. If you enter the wrong code, press the lock button again or wait a couple of minutes before retrying."
,Lockbox Location,Not provided
,Lockbox Code,Not provided
,Where Key Works (front/back/utility/etc.),N/A (coded entry)
,Emergency-Only Key Location,Not provided
,Management Contact Needed for Spare Key? (Yes/No),Unknown / Not provided
PARKING,Parking Rules Summary,STRICT 1 vehicle only. Park on the concrete driveway FAR RIGHT side. Do NOT park on grass. Leave ample space on the left (host parks there). Tires must not be on street (ticket risk). Be careful backing out—avoid neighbor mailbox; do not use neighbor drive for turnarounds.
,Max Vehicles Allowed,1
,Where to Park (left/right/behind house/etc.),Concrete driveway — far RIGHT side
,Do Not Park / Tow Notes,Do not park on grass; tires must not be on street (ticket risk)
,Parking Passes Needed? (Yes/No),No
WIFI,WiFi Network Name (SSID),ABNB 5G
,WiFi Password,5StarStay
,Modem / Router Location,Not provided
,Guest Access to Modem? (Yes/No),Unknown / Not provided
ELECTRICAL / UTILITIES,Circuit Breaker Location,Not provided
,Guest Access to Breaker? (Yes/No),Unknown / Not provided
,Who Controls Thermostat (guest/upstairs/downstairs),Not provided
,HVAC Notes / Reset Instructions,Not provided
TV,TV Locations (LR/BRs/etc.),TV in suite (HDTV)
,Smart TVs? (Yes/No),"Yes (streaming: Prime Video, Hulu, Netflix, Roku; Firestick mentioned)"
OUTDOOR / AMENITIES,Backyard Access (Upstairs only / Downstairs only / Shared),Shared property (3 listings on-site) — outdoor amenities shared
,Porches/Patios (Shared? notes),Upper deck access shared; outdoor shower with changing area shared
,Grill Type (charcoal/gas/none/shared),Charcoal + gas grills (propane provided) — shared access on upper deck
,Grill Location,Upper deck / outdoor deck area (shared)
,"Special Outdoor Notes (trails, etc.)",Outdoor shower; firepit; hammock; garden pond; backyard chickens & bunnies; free kayaks/SUPs/surf boards; clothesline by outdoor shower; rinse feet at water hose in front of house before entering
BEACH GEAR,Where Beach Gear Is Stored,Not specified (beach chairs/coolers/beach games available on property)
BEACH TOWELS,Location and fine,DO NOT take towels to the beach/outside (house rule). Bring your own beach towels/blankets noted.
BIKES,Bikes Provided? (Yes/No),Yes
,Bike Count,Not provided (mentions free bikes incl. tandem)
,Bike Location / Storage,Not provided
,Shared Bikes? (Yes/No + notes),Yes (shared property amenities)
"BIKES / LOCKS (Colors relate to the locks, not the bike colors. Lock codes posted on refrigerator.)",,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Airbnb messages only; check-in after 4pm; checkout by 10am sharp; quiet hours 11pm–7am; no visitors (only registered guests); no smoking; PARKING 1 car only in assigned spot; do not take towels to beach/outside; no neighbor interaction; no refunds/date changes for weather
,Smoking Policy,No smoking
MAINTENANCE / OPS,"Common Issues (GFI resets, etc.)",Not provided
,GFI / Reset Instructions,Not provided
,Special Handling,White sofas + white lace linens: report spills/soiling; guest responsible if damage won’t come out. Pets: leash outside; pick up waste bagged to outside trash; do not feed pet from provided dishes; do not leave pet alone long; excessive barking not allowed.
TRASH,Trash Pickup Days / Season Notes,Not provided
,Trash Instructions / Location,Pet waste must be bagged and put in outside property trash can
Important Links,Property Guide,Welcome Guide: https://t2m.io/7b5nTgrW
,Photo Folder Link,Not provided
,"Other Important Links (thermostat video, rentals, etc.)",Not provided
LOST & FOUND,Process and fees,Not provided
NOTES,Misc Notes / Edge Cases,House is gray/blue two-story; street numbers on mailbox & house (not the white corner house). Entrance is front right door behind the swing. Door code: 14011 (to lock: press lock button; if wrong code press lock again or wait a couple minutes). Early check-in only if available—ask at 1pm; no pre-check-in parking/luggage drop. Segway NineBot scooter mentioned as provided.
