Section,Field,Value
PROPERTY INFO,Property Name,EAST - 1506 Ketch Lane (East Unit)
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),EAST UNIT
,"Full Address (Street, City, State, ZIP)","1506 Ketch Lane (EAST UNIT), Kill Devil Hills, NC 27948"
,Max Occupancy,2
,Beds (count),1
,Bedrooms (count),Studio (1 bed)
,Baths (count),Toilet inside + outdoor shower house (no indoor shower)
,Bed Setup (describe),Queen bed
,Property Type (house/apt/studio/etc.),Studio / efficiency unit
,,
LISTING LINKS,Airbnb Listing Link and title,Chic Hideaway | Shower Shack | Kayak | SUP | MP7.5
,Direct Site Link,
,Other Listing Link 2,
,,
PETS,Pets Allowed? (Yes/No),Strict No
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Key under shell
,Lockbox Location,
,Lockbox Code,
,Where Key Works (front/back/utility/etc.),Unit entry door
,Emergency-Only Key Location,Emergency key labeled “EAST UNIT” (see provided link)
,Extra Spare Key On-Site? (Yes/No + where),Yes (emergency key labeled “EAST UNIT”)
,Management Contact Needed for Spare Key? (Yes/No),Not specified (emergency key info provided)
,Check in time,4:00 PM
,Check out time,10:00 AM
,LATE CHECK OUT FINE,Check out is 10am sharp.  If our cleaning tech is held up because of late check out there will be a $50 fee per 15 minute increments.
PARKING,Parking Rules Summary,"1 vehicle only. Park on Ketch Lane side parallel to mailbox in gravel pad; leave other areas clear. Walk straight ahead and behind white fence to unit entry.
 ""(I do not allow more than ONE vehicle at any time. This is strict. If this rule is broken a fee of $100 per vehicle PER HOUR will be charged.)"""
,Max Vehicles Allowed,1 (strict)
,Where to Park (left/right/behind house/etc.),"Ketch Lane side of house, gravel pad parallel to mailbox (south of mailbox)"
,Do Not Park / Tow Notes,No additional vehicles; use only the designated gravel pad on Ketch Lane side
,Parking Passes Needed? (Yes/No),No
,,
WIFI,WiFi Network Name (SSID),Airbnb1
,WiFi Password,FiveStarStay
ELECTRICAL / UTILITIES,Who Controls Thermostat (guest/upstairs/downstairs),Owner controls AC (guest has no AC control in unit)
,HVAC Notes / Reset Instructions,No AC control in unit; controlled by house owner
,,
TV / STREAMING,TV Locations (LR/BRs/etc.),None ..no tv
,Smart TVs? (Yes/No),No
,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),
,Dishwasher (Yes/No),
,"Dishwasher Notes (pods, latch issues, etc.)",
,Ice Maker / Water Dispenser (Working? notes),
,Garbage Disposal (Yes/No + switch location),
,Coffee Maker(s) (Keurig/drip/etc.),
,Other Appliance Notes,
,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),Outdoor shower house on back porch (unit feature). Outdoor shower/backyard area is shared space.
,Foot Rinse / Foot Wash Station (Yes/No),
,Backyard Access (Upstairs only / Downstairs only / Shared),Shared backyard space
,Porches/Patios (Shared? notes),Back porch includes outdoor shower house
,Grill Type (charcoal/gas/none/shared),Community charcoal grill (shared)
,Grill Location,Backyard (shared)
,Charcoal/Propane Provided? (Yes/No),
,Firepit (Yes/No + wood provided?),Yes; wood provided (stored in backyard)
,Community Amenities (grill/pool/etc.),Community charcoal grill; shared bikes; shared backyard
,"Special Outdoor Notes (trails, etc.)","Walk behind white fence to entry door
Kayak (must be able to safely transport) transport sometimes available for fee
SUPs (must be able to safely transport)
"
,,
BEACH GEAR,Beach Chairs (count),2
,Umbrellas (count + spike?),1 umbrella + spike
,Coolers (count/size),1 small cooler
,Where Beach Gear Is Stored,Not specified
,,
BIKES ,Bikes Provided? (Yes/No),Yes
,Bike Count,6
,Bike Location / Storage,Shared bikes on-site (exact location not specified)
,Shared Bikes? (Yes/No + notes),Yes (shared with other guests)
,Helmet Reminder / Rules,Bring helmet
BIKES  LOCKS,Bike Lock Codes ,
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",No pets (strict). 1 vehicle only—park only in designated gravel pad. No television. No AC control (owner controlled).
,Noise / Quiet Hours,"9PM to 7AM
please keep the interior door closed at all times during your stay. There is a lock on the left door that needs to be pushed up to secure the left side so the right side will stay shut. "
,Smoking Policy,no smoking
,,
MAINTENANCE / OPS,Other Key Locations,Emergency key labeled “EAST UNIT” (link provided)
,Owner Notes / Special Handling,Kayak/SUP require guest to safely transport; transport sometimes available for a fee
,,
TRASH,Trash Pickup Days / Season Notes,N/A
,Trash Instructions / Location,N/A
,,
LOST KEY,FINE/CHARGE,$15
,,
IMPORTANT LINKS,PROPERTY GUIDE,https://docs.google.com/document/d/1bJ4s3uy1qjryIYyInJ8pxuOLPqwQd4WiT8j06pzDTUU/edit?usp=sharing
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",https://drive.google.com/file/d/1-JllB8kIaFYluPSUHKmLYsFQflUC50k5/view?usp=sharing
LOST & FOUND ,Process and fees,The cost of shipping + $10 (handling fee.) Items will be held for 30 days in the lost and found.
NOTES,Misc Notes / Edge Cases,"Private toilet inside; outdoor shower house on back porch. Kayak and SUPs available (guest must safely transport; transport sometimes available for a fee). Firepit with wood provided in backyard. Community charcoal grill in backyard. 6 shared bikes (bring helmet). Parking: 1 vehicle only on Ketch Lane side, gravel pad parallel to mailbox; walk behind white fence to entry. No TV. No AC control (owner controlled)."
