Section,Field,Value
PROPERTY INFO,Property Name,Puff's Hideout | Beach Road | Steps to Ocean MP 8
,Property Code / Short Name,RN - 323 W Blue Jay
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),DOWNSTAIRS UNIT - Stand-alone cottage/bungalow
,"Full Address (Street, City, State, ZIP)","323 W. Blue Jay Street (Downstairs Unit), Nags Head, NC 27959"
,City,Nags Head
,Beds (count),3
,Bedrooms (count),2
,Baths (count),1
,Bed Setup (describe),"2 bedrooms (one is a loft area; LOW head clearance in loft) 1 Queen, 2 Single"
,Property Type (house/apt/studio/etc.),Downstairs unit / bungalow flat
,,
LISTING LINKS,Airbnb Listing Title,Puff's Hideout | Beach Road | Steps to Ocean MP 8
,,
PETS,Pets Allowed? (Yes/No),Yes
,Max # Pets Allowed,1
,Pet Fee ($/night per pet or flat),
,Pet Exceptions / Approval Rules,
,"Pet Notes (cats ok, etc.)",OK
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Key under conch shell (right of entry door)
,Smart Lock Code (if applicable),
,Lockbox Location,Attached to the back of the stairs going to the second floor
,Lockbox Code,3232
,Where Key Works (front/back/utility/etc.),Entry door
,Backup Key Location,Spare key in lockbox (primary key under conch shell at entry)
,Backup Key Code,Hidden key on hook behind bench to right of guest entry door (in carport)
,Emergency-Only Key Location,Lockbox attached to back of stairs (spare key)
,Emergency-Only Key Code,3232
,"Known Lock Issues (intermittent failures, etc.)",
,Restricted Locks / Codes (NOT for guest use),Downstairs utility room is locked (circuit breaker inside; not accessible to guests)
,Cleaning Closet Location,Cleaning closet key in bowl on top of cabinet
,Cleaning Closet Code / Key Location,Key in bowl on top of cabinet
,Extra Spare Key On-Site? (Yes/No + where),Yes (spare key in lockbox on back of stairs; hidden key in carport)
,Management Contact Needed for Spare Key? (Yes/No),No
,,
PARKING,Parking Rules Summary,Private parking on-site; max 3 vehicles
,Golf Cart Allowed? (Yes/No + notes),
,,
WIFI,WiFi Network Name (SSID),
,WiFi Password,
,Modem / Router Location,Owner’s space upstairs (guest does not have access)
,Guest Access to Modem? (Yes/No),No
,ISP / Provider (Spectrum/etc.),
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,Downstairs utility room (locked)
,Guest Access to Breaker? (Yes/No),No (utility room locked)
,,
TV / STREAMING,TV Locations (LR/BRs/etc.),Living room
,Smart TVs? (Yes/No),Yes (smart TV in living room)
,Cable? (Yes/No),No cable
,Provided Apps (Netflix/etc.),Guests stream their own apps
,,
,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),No stove/oven (countertop cook burners)
,Dishwasher (Yes/No),No
,"Dishwasher Notes (pods, latch issues, etc.)",No dishwasher
,Coffee Maker(s) (Keurig/drip/etc.),Keurig + drip coffee maker
,Other Appliance Notes,Countertop cook burners only (no stove/oven) + toaster + microwave
,Firepit,Gas firepit; propane provided
,,
OUTDOOR / AMENITIES,Foot Rinse / Foot Wash Station (Yes/No),Yes (outdoor rinse station for sandy feet)
,Backyard Access (Upstairs only / Downstairs only / Shared),Back patio/porch access + trails out of backyard to Nags Head Woods
,Porches/Patios (Shared? notes),Side screened porch is SHARED; guest also has access to back patio/porch
,Charcoal/Propane Provided? (Yes/No),Propane provided (gas firepit)
,Firepit (Yes/No + wood provided?),"Yes , Gas firepit (propane provided)"
,"Special Outdoor Notes (trails, etc.)",Trails out of backyard to Nags Head Woods
,,
BEACH GEAR,Beach Chairs (count),2
,Umbrellas (count + spike?),1 umbrella
,Coolers (count/size),1 small cooler
,Beach Towels (count),3
,Where Beach Gear Is Stored,By guest entrance outside in carport
,,
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Pets allowed up to 1 (has allowed a cat before). No stove/oven (countertop burners only). Side screened porch is shared.
,Noise / Quiet Hours,
,Smoking Policy,No smoking anything on property; dispose of butts properly; $500 charge if any sign/smell/butts
,Other Restrictions,Utility room is locked (breaker not accessible). WiFi modem is upstairs (guest cannot access).
,Lost & found,"shipping cost + $10 handling, items held 30 days"
,,
MAINTENANCE / OPS,Other Key Locations,Hidden key on hook behind bench to right of guest entry door (carport)
,Owner Notes / Special Handling,Smart TV in living room only; no cable. Cleaning closet key in bowl on top of cabinet.
,,
,,
TRASH,Trash Pickup Days / Season Notes,Trash pickup days must not be missed: roll can to road night prior
,Trash Instructions / Location,Take trash to outside can secured in trash bag (per checkout guide)
,,
CHECK-OUT GUIDE,Check-Out Time,10am sharp
,Linens Instructions,Bed linens can be left on the bed
,Towels Instructions,Towels can be placed on the floor of the bathroom
,Dishes Instructions,All dishes must be washed and left to dry on the countertop (cleaning tech will put away)
,Thermostat Setpoint on Departure,Leave AC @ 74°F or Heat @ 69°F
,Remote Controls Instructions,Log out of personal apps on the TV
,Windows/Doors/Lights Instructions,Windows and doors shut/locked
,Other Check-Out Notes,Empty refrigerator (sealed unopened items ok). Check under furniture for personal items & charging cords. Have a safe journey home.
,,
FILES / LINKS,House Manual / SOP Link,
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",
,,
NOTES,Misc Notes / Edge Cases,
