Section,Field,Value
PROPERTY INFO,Property Name,KW - 500 W. Chowan St (Downstairs Unit)
,Internal Name,KW - 500 W. Chowan
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Downstairs unit (ground level only)
,"Full Address (Street, City, State, ZIP)","500 W. Chowan Street (Downstairs Unit), Kill Devil Hills, NC 27948"
,Max Occupancy,2 (option for 1 child on sofa)
,Beds (count),1
,Bedrooms (count),1
,Baths (count),1
,Bed Setup (describe),1 bedroom with 1 bed; sofa can accommodate 1 child (not listed as pullout)
,Property Type (house/apt/studio/etc.),Downstairs unit / apartment-style suite
,Check in time,After 4:00 PM
,Check out time,10:00 AM
,,
LISTING LINKS,Airbnb Title & Link,Captains Quarters | Coastal Charm |Free Bikes |MP6
LISTING LINKS,Direct Site Link,
LISTING LINKS,Other Listing Link 2,
,,
PETS,Pets Allowed? (Yes/No),No (strict)
,Pet Exceptions / Approval Rules,No pets. Fee + possible immediate eviction if a pet is noted.
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Lockbox with key
,Lockbox Location,"Under carport: walk under carport, turn left where swing is under deck; lockbox on post immediately left of swing"
,Lockbox Code,500
,Where Key Works (front/back/utility/etc.),Downstairs unit entry door
,Emergency-Only Key Location,Lockbox at back of outdoor shower (in fenced backyard): go left of home through gate; pass outside shower on right; lockbox top right of post
,Management Contact Needed for Spare Key? (Yes/No),No (emergency lockbox available)
,,
PARKING,Parking Rules Summary,Max 1 vehicle (strict). Must park on RIGHT side of drive at all times. Left side is for upstairs residence.
,Max Vehicles Allowed,1
,Where to Park (left/right/behind house/etc.),RIGHT side of drive only
,Do Not Park / Tow Notes,Do not park on left side (reserved for upstairs)
,Parking Passes Needed? (Yes/No),No
,,
WIFI,WiFi Network Name (SSID),TheCaptainsQuarters (also noted: CenturyLink5134)
,WiFi Password,galeforce
,Modem / Router Location,Upstairs (not accessible to guests)
,Guest Access to Modem? (Yes/No),No
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,Behind guest bedroom door (controls up & down)
,Guest Access to Breaker? (Yes/No),Yes
,Who Controls Thermostat (guest/upstairs/downstairs),Guest (mini-split remotes in unit)
,HVAC Notes / Reset Instructions,Mini-split AC units: one in bedroom and one in living room
,,
TV,TV Locations (LR/BRs/etc.),Living room + bedroom
,Smart TVs? (Yes/No),Yes
,Smart TVs? (Yes/No),Smart TVs in living room and bedroom; Roku PIN 1234 (2 TV remotes)
,,
OUTDOOR / AMENITIES,Backyard Access (Upstairs only / Downstairs only / Shared),Ground level access only; fenced backyard area accessible but NO access to upstairs decks
,Porches/Patios (Shared? notes),No access to front or rear upstairs decks (restricted)
,Grill Type (charcoal/gas/none/shared),None (no grill)
,Grill Location,N/A
,"Special Outdoor Notes (trails, etc.)",Firepit on property (wood not provided). Water hose on east side of house. Guests may use boogie boards.
,,
BEACH GEAR,Where Beach Gear Is Stored,Not specified (beach chairs provided)
BEACH TOWELS,Location and fine,Towels are for property use; sunscreen can stain towels/sheets (per house rules). Exact beach towel info not provided.
,,
BIKES,Bikes Provided? (Yes/No),Yes
,Bike Count,2
,Bike Location / Storage,At house (exact storage not specified)
,Shared Bikes? (Yes/No + notes),No
,,
"LOCKS (Colors relate to the locks, not the bike colors. Lock codes posted on refrigerator.)",Red/General,BIKE LOCK CODE: 0500
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",No pets. No grill. Quiet hours 9pm–7am. Max 1 vehicle; park RIGHT side only. No smoking ($500). No fires/candles. Do not move furniture/decor. No refunds/date changes due to weather. Please be mindful of noise (upstairs occupants). Do not access front or rear upstairs decks. All comms via Airbnb.
,Smoking Policy,No smoking on property; $500 charge if any sign of smoking.
,,
MAINTENANCE / OPS,"Common Issues (GFI resets, etc.)",
,GFI / Reset Instructions,
,Special Handling,Dehumidifier does not need to be emptied. No guest washer/dryer (upstairs cleaner use only). RESTRICTED (cleaner only): upstairs access code 7352 (do not share with guests).
,,
TRASH,Trash Pickup Days / Season Notes,Trash to road Monday & Thursday evenings
,Trash Instructions / Location,Take trash to outside can secured in a trash bag
,,
Important Links,Property Guide,https://docs.google.com/document/d/1wIonq0OUHyE8PKtx-Cgl6D50pXYyU8mTxh3W5MB9KHs/edit?usp=sharing
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",
,,
LOST & FOUND,Process and fees,Items held 30 days. Shipping at cost + $10 handling fee.
,,
NOTES,Misc Notes / Edge Cases,"Lockbox entry code 0500. Lockbox location: under carport; turn left to swing under deck; box on post immediately left of swing. Emergency-only hidden key: lockbox at back of outdoor shower, code 1952 (via left gate into fenced backyard). WiFi: TheCaptainsQuarters / galeforce (also CenturyLink5134 mentioned). Modem upstairs not accessible. Smart TVs LR + bedroom; Roku PIN 1234; 2 remotes (leave on dining table at checkout). Parking: 1 vehicle strict; park RIGHT side only. No grill. Firepit; wood not provided; hose east side. 2 bikes; boogie boards allowed; bike lock code 0500. Circuit breaker behind guest bedroom door (up & down). Mini-split AC units in bedroom + living room. Checkout: 10am; text “500 West Chowan has checked out” to 252-722-4973; do NOT strip beds; towels piled in bathroom; wash dishes and leave to dry; trash bagged; lock windows/doors; lights out; log out of apps; empty fridge (sealed unopened ok)."
