Section,Field,Value
PROPERTY INFO,Property Name,Private Flat | Pets | Kayak | Bike | SUPs | MP7.5
,Property Code / Short Name,South Unit (South - 1506 Ketch Lane)
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),SOUTH UNIT
,"Full Address (Street, City, State, ZIP)","1506 Ketch Lane (SOUTH UNIT), Kill Devil Hills, NC 27948"
,Max Occupancy,2
,Beds (count),1 (studio / 1 room)
,Bedrooms (count),Studio (1 room)
,Baths (count),1 shared bath (shower only) + bonus toilet in-unit
,Bed Setup (describe),Queen bed (sleeps 2)
,Property Type (house/apt/studio/etc.),Studio apartment / private flat
,,
LISTING LINKS,Airbnb Listing Title,Private Flat | Pets | Kayak | Bike | SUPs | MP7.5
,,
PETS,Pets Allowed? (Yes/No),Yes
,Max # Pets Allowed,2 (will consider 3)
,Pet Fee ($/night per pet or flat),$25/night per pet (up to 2 pets)
,Pet Exceptions / Approval Rules,3rd pet must be approved prior to booking; unlisted pets charged pet fees + extra $15
,Pet Payment Method (Airbnb/VRBO/Venmo/PayPal/etc.),Venmo or Airbnb Resolution Center
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Keypad / smart lock (exterior door)
,Smart Lock Code (if applicable),123456 then press unlock button
,Lockbox Code,
,Where Key Works (front/back/utility/etc.),Unit entry door
,Backup Key Location,Backup Key Location	EMERGENCY ONLY key labeled “SOUTH UNIT” (must be returned immediately)
,Backup Key Code,
,,
PARKING,Parking Rules Summary,1 vehicle only. Must park in driveway to LEFT of garage.
,Max Vehicles Allowed,1 (strict)
,Where to Park (left/right/behind house/etc.),Driveway to the LEFT of the garage
,Do Not Park / Tow Notes,No additional vehicles
,Parking Passes Needed? (Yes/No),No
,,
WIFI,WiFi Network Name (SSID),Airbnb1
,WiFi Password,FiveStarStay
,Modem / Router Location,Not accessible to guests
,Guest Access to Modem? (Yes/No),No
,ISP / Provider (Spectrum/etc.),
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,Behind world map tapestry
,Guest Access to Breaker? (Yes/No),Yes
,Thermostat Type (Ecobee/other),Ductless mini-split system (remote controlled)
,Thermostat Location,
,Who Controls Thermostat (guest/upstairs/downstairs),	Guest controls via mini-split remote
,HVAC Notes / Reset Instructions,	Guest controls via mini-split remote
,,
TV / STREAMING,TV Locations (LR/BRs/etc.),Living space
,Smart TVs? (Yes/No),Yes (large smart TV)
,Cable? (Yes/No),No
,Provided Apps (Netflix/etc.),Roku
,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),No oven/stove
,Coffee Maker(s) (Keurig/drip/etc.),Drip coffee maker
,Other Appliance Notes,"Efficiency style; small but full refrigerator/freezer, Microwave, toaster, blender, full refrigerator/freezer, full sink, dishes/utensils"
,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),Shared outdoor shower in backyard (shared space)
,Foot Rinse / Foot Wash Station (Yes/No),
,Backyard Access (Upstairs only / Downstairs only / Shared),Backyard shared space
,Porches/Patios (Shared? notes),Private patio/balcony + outdoor furniture; outdoor dining area
,Grill Type (charcoal/gas/none/shared),Charcoal grill (shared with all guests)
,Grill Location,Backyard (shared)
,Community Amenities (grill/pool/etc.),Shared charcoal grill; shared bikes
,"Special Outdoor Notes (trails, etc.)","Bathroom immediately inside home on the right , 

Kayaks/SUPs available but guest must transport; delivery/pickup sometimes available for cash fee"
,,
BEACH GEAR,Beach Chairs (count),2
,Umbrellas (count + spike?),1 umbrella + spike
,Beach Towels (count),2
,Where Beach Gear Is Stored,Not specified
,,
BIKES / LOCKS,Bikes Provided? (Yes/No),Yes
,Bike Count,6 ( shared )
