Section,Field,Value
PROPERTY INFO,Property Name,HS - 2018 Highview Street
,Internal Name,HS
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Entire home
,"Full Address (Street, City, State, ZIP)","2018 Highview Street, Kill Devil Hills, NC 27948"
,Max Occupancy,8
,Beds (count),4
,Bedrooms (count),3
,Baths (count),2.5
,Bed Setup (describe),"Bedroom 1: Queen bed (ensuite). Bedroom 2: Queen bed (ensuite, shower/tub; also hall access). Bedroom 3: 2 double beds (sleeps 4)."
,Property Type (house/apt/studio/etc.),House / cottage (2-story)
,Check in time,After 4:00 PM
,Check out time,10:00 AM
,,
LISTING LINKS,Airbnb Title & Link,Highview Haven | Timeless Coastal Experience | MP7
,Direct Site Link,
,Other Listing Link 2,
,,
PETS,Pets Allowed? (Yes/No),No (strict)
,Pet Exceptions / Approval Rules,No pets. Fee + possible immediate eviction if a pet is noted.
,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Keyed entrance via lockbox
,Lockbox Location,On piling opposite entry door in carport
,Lockbox Code,1980 (NOT the code in the picture)
,Where Key Works (front/back/utility/etc.),Entry door (keyed entrance)
,Emergency-Only Key Location,On a screw under HVAC stand (carport entry door key + utility room key for breaker)
,Management Contact Needed for Spare Key? (Yes/No),No
,,
PARKING,Parking Rules Summary,Max 4 vehicles. Must park in concrete driveway only. No street parking. Do not park on grass.
,Max Vehicles Allowed,4
,Where to Park (left/right/behind house/etc.),Concrete driveway
,Do Not Park / Tow Notes,No street parking. No grass parking.
,Parking Passes Needed? (Yes/No),No
,,
WIFI,WiFi Network Name (SSID),Airbnb1
,WiFi Password,FiveStarStay
,Modem / Router Location,WiFi equipment next to washer/dryer
,Guest Access to Modem? (Yes/No),Yes (modem/router access noted)
,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,Utility room off carport
,Guest Access to Breaker? (Yes/No),Yes (utility room key is with emergency key under HVAC stand)
,Who Controls Thermostat (guest/upstairs/downstairs),Guest
,HVAC Notes / Reset Instructions,HVAC return behind locked door beside cleaning closet in dining room. HVAC filter sizes: 14x24x1 and 20x20x1.
,,
TV,TV Locations (LR/BRs/etc.),Living room + 2 bedrooms
,Smart TVs? (Yes/No),Yes
,,
OUTDOOR / AMENITIES,Backyard Access (Upstairs only / Downstairs only / Shared),Backyard (entire home)
,Porches/Patios (Shared? notes),2 decks / covered decks
,Grill Type (charcoal/gas/none/shared),None (no grill; no grilling)
,Grill Location,N/A
,"Special Outdoor Notes (trails, etc.)",Outdoor shower with hot water. Dart board. Patio lights. Golf cart allowed.
,,
BEACH GEAR,Where Beach Gear Is Stored,Not specified (beach equipment provided)
BEACH TOWELS,Location and fine,"Beach towels available. If used, must be washed/dried/folded and returned as found. Reimbursement required if missing/broken."
,,
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",No pets. No grill/no grilling. Quiet hours 10pm–7am. Max 4 vehicles; driveway only (no street/grass). No smoking. No fires/candles. Do not move furniture/decor. All comms via Airbnb. No weather refunds/date changes. Beach gear/towel reimbursement if missing/broken/stained.
,Smoking Policy,No smoking on property; $500 charge if any sign of smoking.
,,
MAINTENANCE / OPS,"Common Issues (GFI resets, etc.)",
,GFI / Reset Instructions,
,Special Handling,Washing machine model and WiFi details are referenced as “see the doc” (not provided here). Emergency key under HVAC stand includes utility room key.
,,
TRASH,Trash Pickup Days / Season Notes,Trash to road nights prior to pickup: Monday & Thursday evenings (Nov–Mar: Monday evenings only)
,Trash Instructions / Location,Take trash to outside can secured in a trash bag
,,
Important Links,Property Guide,https://docs.google.com/document/d/1twF9tl2NGgt3UKXcq00QHL6CYTEDH-Du1LWmQxtuUoA/edit?usp=sharing
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",
,,
LOST & FOUND,Process and fees,Items held 30 days. Shipping at cost + $10 handling fee.
,,
NOTES,Misc Notes / Edge Cases,"Lockbox is on piling opposite entry door in carport; code 1980 (not the photo code). Emergency key on screw under HVAC stand (carport entry door + utility room). Circuit breaker in utility room off carport. No grill. Outdoor shower hot water. Parking up to 4. WiFi equipment next to washer/dryer. Kitchen has all major appliances + dual Keurig + drip coffee pot + crock pot. Beach gear noted: 8 chairs, 1 umbrella, 1 cooler (+ beach towels with wash/dry/fold requirement if used). Checkout: 10am; text “Highview Street has checked out” to 540-577-2854; strip beds; linens/towels piled by washer; remotes on kitchen counter; start dishwasher; thermostat AC 74 / Heat 68; lock up, lights off, log out of apps."
