Section,Field,Value,
PROPERTY INFO,Property Name,Classic Cottage Experience | Bikes | Grill | MP6.5,
,Property Code / Short Name,LH - Little House Suffolk St.,
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Entire home (single unit) ; Single-level cottage (no stairs),
,"Full Address (Street, City, State, ZIP)","1005 Suffolk Street, Kill Devil Hills, NC 27948",
,City,Kill Devil Hills,
,Max Occupancy,5 (may sleep 1 on sofa) (best suited for 4; 1 may sleep on couch w/ own linens),
,Beds (count),2,
,Bedrooms (count),2,
,Baths (count),1,
,Bed Setup (describe),2 King beds (1 per bedroom). Couch may sleep 1 (guest must bring sheets/blanket/pillow/towel),
,Property Type (house/apt/studio/etc.),Cottage / house,
,,,
LISTING LINKS,Airbnb Listing Title,Classic Cottage Experience | Bikes | Grill | MP6.5,
,,,
PETS,Pets Allowed? (Yes/No),Yes (dogs only),
,Max # Pets Allowed,Up to 2 dogs (3rd+ requires management approval),
,Pet Fee ($/night per pet or flat),$25/night per pet,
,Pet Exceptions / Approval Rules,Must get approval from management for more than 2 pets,
,"Pet Notes (cats ok, etc.)",NO CATS. No pets on furniture/beds/sofas. Pick up waste. Bring own pet bowls. Crate/gate when unattended. Vacuum routinely. If unlisted pets: charged pet fees via Airbnb Resolution Center + extra $15. Pet hair on linens/sofa: additional $75 per bed/sofa,
,Pet Payment Method (Airbnb/VRBO/Venmo/PayPal/etc.),Airbnb resolution centre,
,,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Lockbox + physical key,
,Smart Lock Code (if applicable),,
,Lockbox Location,Driveway side of the house,
,Lockbox Code,5001,
,Where Key Works (front/back/utility/etc.),Key entry to front door,
,Backup Key Location,,
,Backup Key Code,,
,Restricted Locks / Codes (NOT for guest use),Cleaning closet in one bedroom (no guest access),
,Cleaning Closet Location,One of the bedrooms,
,Cleaning Closet Code / Key Location,Code: PLAY (no guest access),
,Extra Spare Key On-Site? (Yes/No + where),Not specified,
,,,
PARKING,Parking Rules Summary,2 vehicles STRICT. No parking on grass.,
,Max Vehicles Allowed,2 (strict),
,Where to Park (left/right/behind house/etc.),Not specified,
,Do Not Park / Tow Notes,No parking on grass,
,Parking Passes Needed? (Yes/No),No,
,Where Passes Are Stored,On premises,
,Golf Cart Allowed? (Yes/No + notes),,
,,,
WIFI,WiFi Network Name (SSID),,
,WiFi Password,,
,Modem / Router Location,WiFi equipment in front bedroom,
,Guest Access to Modem? (Yes/No),Yes,
,,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,Back bedroom,
,Guest Access to Breaker? (Yes/No),Yes,
,Who Controls Thermostat (guest/upstairs/downstairs),Guest,
,,,
TV / STREAMING,TV Locations (LR/BRs/etc.),Living room and both bedrooms,
,Smart TVs? (Yes/No),Yes,
,Cable? (Yes/No),No (streaming only),
,,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),Yes,
,Dishwasher (Yes/No),Yes,
,"Dishwasher Notes (pods, latch issues, etc.)",Pods provided as starter (5),
,Coffee Maker(s) (Keurig/drip/etc.),Drip coffee maker (starter ground coffee provided),
,Other Appliance Notes,"Microwave, toaster, blender, kettle; fully stocked kitchen. Grill utensils in cabinet under microwave",
,,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),No outdoor shower (foot wash station available),
,Foot Rinse / Foot Wash Station (Yes/No),Yes,
,Backyard Access (Upstairs only / Downstairs only / Shared),Private backyard (not fully fenced),
,Porches/Patios (Shared? notes),Private patio/deck + outdoor bar + outdoor dining,
,Grill Type (charcoal/gas/none/shared),Charcoal park-style grill,
,Grill Location,Not specified,
,Community Amenities (grill/pool/etc.),Close to Bay Drive boat ramp/sound access; neighborhood bike/walking path,
,"Special Outdoor Notes (trails, etc.)",Grill utensils in cabinet under microwave,
,,,
BEACH GEAR,Beach Chairs (count),4,
,Umbrellas (count + spike?),1 umbrella + spike,
,Coolers (count/size),1 small cooler,
,Beach Towels (count),Provided,
,Where Beach Gear Is Stored,Back bedroom closet,
,,,
,Bikes Provided? (Yes/No),Yes,
,Bike Count,4,
,Bike Location / Storage,East side of house,
,Shared Bikes? (Yes/No + notes),,
