Section,Field,Value
PROPERTY INFO,Property Name,2HD - Sweet Dreams - Dwn South Side Harpoon
,Internal Name,2HD
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Downstairs / ground-level guest suite (South side) — door under side porch labeled “Sweet Dreams”
,"Full Address (Street, City, State, ZIP)","1401 Harpoon Drive, Kill Devil Hills, NC 27948"
,Max Occupancy,2
,Beds (count),1
,Bedrooms (count),1
,Baths (count),1
,Bed Setup (describe),1 King bed
,Property Type (house/apt/studio/etc.),Private guest suite / efficiency
,Check in time,4:00 PM
,Check out time,10:00 AM
LISTING LINKS,Airbnb Title & Link,Sweet Dreams | Private | Kayaks | Bikes | MP7.5
,Direct Site Link,Not provided
,Other Listing Link 2,Not provided
PETS,Pets Allowed? (Yes/No),Yes
,Pet Exceptions / Approval Rules,Up to 1 pet allowed. More than 1 requires approval before booking. Pet fee $10/night per pet. No pets on bed/furniture; if guest wants pet to sleep with them they must bring their own sheets/blankets + message host; excessive cleaning fee $100+ if violated.
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),"Entry code 6968 , self check in

Please note that the house numbers are clearly marked on both the mailbox and the house itself. If you don’t see them, you are at the wrong location. The house is a gray/blue, two-story home. Please be aware that I am not the white house on the corner.

Drive down Harpoon Drive, and you'll find my home on the right.

Your suite is located on the ground level. Walk straight ahead and your entrance door is underneath of the side porch - 'Sweet Dreams'
"
,Lockbox Location,Not provided
,Lockbox Code,Not provided
,Where Key Works (front/back/utility/etc.),Not provided
,Emergency-Only Key Location,Not provided
,Management Contact Needed for Spare Key? (Yes/No),Unknown / Not provided
PARKING,Parking Rules Summary,STRICT 1 vehicle only. Park in the most south spot to the LEFT of the driveway in the grass by the big green electrical box. Other grass areas are for other guests. Tires must not be on the street (ticket risk). Be careful backing out—avoid neighbor mailbox.
,Max Vehicles Allowed,1
,Where to Park (left/right/behind house/etc.),"Grass spot to LEFT of driveway, most south spot by big green electrical box"
,Do Not Park / Tow Notes,Do not park in other grass areas; tires must not be on street (ticket risk)
,Parking Passes Needed? (Yes/No),No
WIFI,WiFi Network Name (SSID),ABNB 5G
,WiFi Password,5StarStay
,Modem / Router Location,Not provided
,Guest Access to Modem? (Yes/No),Unknown / Not provided
ELECTRICAL / UTILITIES,Circuit Breaker Location,Not provided
,Guest Access to Breaker? (Yes/No),Unknown / Not provided
,Who Controls Thermostat (guest/upstairs/downstairs),Not provided
,HVAC Notes / Reset Instructions,Not provided
TV,TV Locations (LR/BRs/etc.),TV in suite (45” HDTV noted)
,Smart TVs? (Yes/No),"Yes (streaming: Prime Video, Hulu; Firestick mentioned)"
OUTDOOR / AMENITIES,Backyard Access (Upstairs only / Downstairs only / Shared),Shared property (3 listings on-site) — outdoor amenities shared
,Porches/Patios (Shared? notes),Outdoor decks with lounge/eating areas shared; outdoor shower with changing area shared
,Grill Type (charcoal/gas/none/shared),Charcoal + gas grills (propane provided) — shared access (upper deck access mentioned)
,Grill Location,Upper deck / outdoor deck area (shared)
,"Special Outdoor Notes (trails, etc.)",Outdoor shower; firepit (wood not provided; available at Publix/Lowe’s); hammock; garden pond; backyard chickens & bunnies; free kayaks/SUP/surf board; clothesline by outdoor shower; rinse feet at water hose in front of house before entering
BEACH GEAR,Where Beach Gear Is Stored,Not specified (beach chairs/coolers/beach games available on property)
BEACH TOWELS,Location and fine,DO NOT take towels to the beach/outside (house rule)
BIKES,Bikes Provided? (Yes/No),Yes
,Bike Count,Not provided (mentions free bikes incl. tandem)
,Bike Location / Storage,Not provided
,Shared Bikes? (Yes/No + notes),Yes (shared property amenities)
"BIKES / LOCKS (Colors relate to the locks, not the bike colors. Lock codes posted on refrigerator.)",,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Airbnb messages only; check-in after 4pm; checkout by 10am sharp; quiet hours 11pm–7am; no visitors (only registered guests); no smoking; PARKING 1 car only in assigned spot; do not take towels to beach/outside; no neighbor interaction; no refunds/date changes for weather; make room for other guests parking; do not hang items visible to road on clothesline
,Smoking Policy,No smoking
MAINTENANCE / OPS,"Common Issues (GFI resets, etc.)",Not provided
,GFI / Reset Instructions,Not provided
,Special Handling,White sofas + white lace linens: report spills/soiling; guest responsible if damage won’t come out. Pets: leash outside; pick up waste bagged to outside trash; do not feed pet from provided dishes; do not leave pet alone long; excessive barking not allowed.
TRASH,Trash Pickup Days / Season Notes,Not provided
,Trash Instructions / Location,Pet waste must be bagged and put in outside property trash can
Important Links,Property Guide,Not provided
,Photo Folder Link,Not provided
,"Other Important Links (thermostat video, rentals, etc.)",Not provided
LOST & FOUND,Process and fees,Not provided
NOTES,Misc Notes / Edge Cases,House is gray/blue two-story; street numbers on mailbox & house (not the white corner house). Entrance is under side porch labeled “Sweet Dreams.” Segway NineBot scooter mentioned as provided. Early check-in only if available—ask between 12pm–1pm day of arrival; no pre-check-in parking/luggage drop.
