Section,Field,Value,
PROPERTY INFO,Property Name,The Sportsman | Beach Gear | Bikes | Firepit | MP6,
,Property Code / Short Name,SD - Sportsman Drive,
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Entire home (private cottage),
,"Full Address (Street, City, State, ZIP)","101 West Sportsman Drive, Kill Devil Hills, NC 27948",
,City,Kill Devil Hills,
,Max Occupancy,6,
,Beds (count),3,
,Bedrooms (count),2,
,Baths (count),1,
,Bed Setup (describe),2 King beds (one in each bedroom) + Pull-out sofa in sunroom (guest must bring linens for sofa bed),
,Property Type (house/apt/studio/etc.),House / cottage,
,,,
LISTING LINKS,Airbnb Listing Title,The Sportsman | Beach Gear | Bikes | Firepit | MP6,
,,,
PETS,Pets Allowed? (Yes/No),Yes,
,Max # Pets Allowed,2 (more with Katie approval),
,Pet Fee ($/night per pet or flat),$25/night per pet,
,Pet Exceptions / Approval Rules,3rd pet can be considered with additional fee (must reach out prior to booking for approval),
,"Pet Notes (cats ok, etc.)",No pets on furniture. $250 excessive cleaning fee if evidence of pet on sofas/beds or excessive hair. Pick up pet waste and bag it in outdoor trash. Don’t use house dishes/utensils for pets.      ,
,Pet Payment Method (Airbnb/VRBO/Venmo/PayPal/etc.),Airbnb (unlisted pets charged via Airbnb Resolution Center: pet fees + extra $15),
,,,
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),Smart lock with code  (Yale keypad),
,Smart Lock Code (if applicable),0409,
,Where Key Works (front/back/utility/etc.),Front door via entry code,
,Backup Key Location,Hidden key behind “tide clock” on outside of outdoor shower (around back); key works for back door,
,Backup Key Code,,
,Emergency-Only Key Location,Hidden key behind “tide clock” on outside of outdoor shower (around back); works for back door,
,Cleaning Closet Location,Owner’s closets (restricted),
,Cleaning Closet Code / Key Location,,
,Extra Spare Key On-Site? (Yes/No + where),Yes (hidden key behind tide clock on outdoor shower),
,,,
PARKING,Parking Rules Summary,Parking up to 3–4 vehicles,
,Max Vehicles Allowed,3–4,
,,,
WIFI,WiFi Network Name (SSID),Airbnb1,
,WiFi Password,FiveStarStay,
,Guest Access to Modem? (Yes/No),Yes,
,,,
ELECTRICAL / UTILITIES,Circuit Breaker Location,In kitchen above the stove,
,Guest Access to Breaker? (Yes/No),Yes,
,Who Controls Thermostat (guest/upstairs/downstairs),Guest,
,,,
TV / STREAMING,TV Locations (LR/BRs/etc.),Living room + both bedrooms,
,Smart TVs? (Yes/No),Yes,
,,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),Yes (stove present; breaker is above stove),
,"Dishwasher Notes (pods, latch issues, etc.)",No dishwasher,
,Coffee Maker(s) (Keurig/drip/etc.),Keurig,
,Other Appliance Notes,,
,,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),Outdoor foot rinse shower (left of entry door),Yes (hot water + privacy)
,Foot Rinse / Foot Wash Station (Yes/No),Yes (foot rinse shower left of entry door),
,Backyard Access (Upstairs only / Downstairs only / Shared),Private fenced backyard (entire home access),
,Grill Type (charcoal/gas/none/shared),Charcoal grill,
,Grill Location,In shed,
,Charcoal/Propane Provided? (Yes/No),No (charcoal not provided),
,Firepit (Yes/No + wood provided?),Yes (wood not provided),
,"Special Outdoor Notes (trails, etc.)",Shed keys hanging on side of dryer,Hidden key is behind “tide clock” on outdoor shower
,,,
BEACH GEAR,Umbrellas (count + spike?),Umbrella with spike (in shed),
,Coolers (count/size),Small cooler (in shed),
,Where Beach Gear Is Stored,"In shed (chairs, umbrella with spike, small cooler)",
,,,
,Bikes Provided? (Yes/No),Yes,
,Bike Count,4,
,Bike Location / Storage,In shed,
,Shared Bikes? (Yes/No + notes),No,
,Helmet Reminder / Rules,Bring helmets,
,,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Pets allowed up to 2 with $25/night per pet; more with Katie approval. Charcoal grill located in shed; charcoal not provided.,
,Noise / Quiet Hours,Be mindful of noise after 9pm,
,Smoking Policy,,
,Other Restrictions,No weather-related refunds or date changes. Don’t allow children to play with sprinkler heads. Lost & found: items held 30 days; shipping cost + $10 handling.,
,,,
