Section,Field,Value
PROPERTY INFO,Property Name,VA - Virginia Ave. 1721
,Internal Name,VA
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),Entire cottage / whole home
,"Full Address (Street, City, State, ZIP)","1721 Virginia Avenue, Kill Devil Hills, NC 27948"
,Max Occupancy,7
,Beds (count),3 (plus 1 pullout sofa bed)
,Bedrooms (count),3
,Baths (count),2
,Bed Setup (describe),"Bedroom 1: Queen bed (primary, ensuite). Bedroom 2: Queen bed. Bedroom 3: Single bed. Living room: Full-size pullout sofa bed (sleeps 2)."
,Property Type (house/apt/studio/etc.),Cottage / house
,Check in time,4:00 PM
,Check out time,10:00 AM
LISTING LINKS,Airbnb Title & Link,On Cloud 9 | Pet Friendly | Fully Stocked | MP7
,Direct Site Link,www.OBXSharpStays.com
,Other Listing Link 2,Not provided
PETS,Pets Allowed? (Yes/No),Yes
,Pet Exceptions / Approval Rules,"Dogs only (no cats). Up to 2 pets allowed ($25 per pet per night). 3rd pet may be considered with approval + additional fee. Unlisted pets charged via Airbnb Resolution Center (pet fees + extra $15). Pets not allowed on furniture/beds/sofas (additional $75 fee per bed/sofa if hair found). If pet sleeps with guest, guest must bring own linens and notify NIGHT PRIOR so host can leave beds “naked.”"
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),"Smart lock / coded door lock 

5206 , please enter code, wait 1-2 seconds for it to unlock, then enter"
,Lockbox Location,N/A
,Lockbox Code,N/A
,Where Key Works (front/back/utility/etc.),N/A (coded entry)
,Emergency-Only Key Location,Not provided
,Management Contact Needed for Spare Key? (Yes/No),Unknown / Not provided
PARKING,Parking Rules Summary,Plenty of parking in driveway. Driveway only—do not park on grass. Space for boat/trailer noted.
,Max Vehicles Allowed,Not specified
,Where to Park (left/right/behind house/etc.),Driveway
,Do Not Park / Tow Notes,Do not park on grass
,Parking Passes Needed? (Yes/No),No
WIFI,WiFi Network Name (SSID),NETGEAR83-5G
,WiFi Password,blackorchestra517
,Modem / Router Location,Not provided
,Guest Access to Modem? (Yes/No),Unknown / Not provided
ELECTRICAL / UTILITIES,Circuit Breaker Location,Not provided
,Guest Access to Breaker? (Yes/No),Unknown / Not provided
,Who Controls Thermostat (guest/upstairs/downstairs),Guest
,HVAC Notes / Reset Instructions,Not provided
TV,TV Locations (LR/BRs/etc.),Smart TVs in every room + living room
,Smart TVs? (Yes/No),Yes
OUTDOOR / AMENITIES,Backyard Access (Upstairs only / Downstairs only / Shared),Private fenced yard (gated decks lead to fenced backyard)
,Porches/Patios (Shared? notes),Gated decks (private to the home)
,Grill Type (charcoal/gas/none/shared),Charcoal grill
,Grill Location,Ground level only (NOT on decks). Stored/returned to utility room with cover.
,"Special Outdoor Notes (trails, etc.)",Firepit (wood not provided). Outdoor swing. Outdoor shower with hot water (closed during cold months). Living room side storm door has childproof handle—lift UP from inside to open.
BEACH GEAR,Where Beach Gear Is Stored,Ground-level utility room (also contains washer/dryer + extra refrigerator/freezer)
BEACH TOWELS,Location and fine,Do not use bath towels at beach (house rule). Beach gear includes chairs/cooler/toys; beach towel specifics not provided.
BIKES,Bikes Provided? (Yes/No),Not provided
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Airbnb messages only; check-in after 4pm; checkout by 10am prompt; quiet hours 10pm–7am; trash to road Monday & Thursday; no smoking inside home or on decks ($150 charge); rinse off in outside shower before entering; do not park on grass; do not move furniture/decor; do not grill on decks; no weather-related refunds/date changes.
,Smoking Policy,No smoking inside or on decks ($150 charge)
MAINTENANCE / OPS,"Common Issues (GFI resets, etc.)",Not provided
,GFI / Reset Instructions,Not provided
,Special Handling,"Grill must remain ground level; scrape clean after use; clean utensils and return where found; return grill to utility room with cover. If pet sleeps with guest, notify night prior so host leaves beds “naked.”"
TRASH,Trash Pickup Days / Season Notes,Must take trash to road Monday & Thursday (nights prior to pickup)
,Trash Instructions / Location,Take trash to road nights prior to pickup
Important Links,Property Guide,Welcome Guide: https://t2m.io/twCLHwut
,Photo Folder Link,Not provided
,"Other Important Links (thermostat video, rentals, etc.)",Not provided
LOST & FOUND,Process and fees,Held 30 days; ship for cost of shipping + $10 handling fee
NOTES,Misc Notes / Edge Cases,Cottage sleeps 7 with pullout sofa. Dedicated workspace in Bedroom 3 with large desk. Living room ceiling fan light remote—leave visible in living room at checkout. Outdoor shower may be closed during cold months.
